logFC,AveExpr,target,P.Value,adj.P.Val,B,label
-1.033596642,2.622307452,-4.011928088,0.00015742,0.024835755,-0.544307467,NRGN
1.509975507,1.3080894,4.011517727,0.000157639,0.024835755,-0.545646122,GCNT3
1.148023706,1.63120159,4.006502727,0.000160346,0.025131574,-0.561999083,RHBDL2
-1.650984187,7.628893567,-4.003880272,0.000161778,0.025290813,-0.570545482,A2M
1.203299904,1.739816307,3.98575648,0.000172024,0.026686122,-0.629516877,KIF26B
-3.662746734,8.602269939,-3.978624338,0.000176224,0.0271296,-0.652678923,SFTPC
-1.484313321,1.768620459,-3.97124989,0.000180671,0.027465652,-0.676601279,SOSTDC1
-1.800949668,3.835050312,-3.967006775,0.000183279,0.027723063,-0.690353459,AQP4
-1.204464463,2.120152225,-3.960491468,0.000187353,0.028198691,-0.711452448,TBX4
-1.213576751,1.928938145,-3.957084835,0.000189518,0.028453909,-0.722475942,CAB39L
-1.428407957,3.435702015,-3.95394432,0.000191535,0.028685729,-0.732633154,CFD
-2.047153483,3.20054337,-3.948137207,0.000195319,0.029122391,-0.751401782,CD36
-1.102883246,1.589768563,-3.947115475,0.000195992,0.029122391,-0.754702275,CST7
-1.414781185,2.447752797,-3.944383858,0.000197802,0.029122391,-0.763523617,SLIT3
-1.095727397,1.516995436,-3.936288229,0.000203264,0.029495608,-0.789645155,BMP5
-1.628773866,2.347450367,-3.93170326,0.000206421,0.029805087,-0.804424454,EMCN
-2.454640424,4.348612307,-3.931055328,0.000206871,0.029805087,-0.806512156,C7
-1.659032987,2.224639134,-3.926872953,0.000209797,0.030092392,-0.819983086,ACKR1
-1.449907261,2.626332858,-3.925383833,0.000210849,0.030092392,-0.824777228,AFF3
-1.494481184,3.344244455,-3.923022739,0.000212527,0.030195472,-0.832376338,S1PR1
-1.168240837,1.77814228,-3.920340326,0.000214449,0.030291146,-0.841006173,OLFML2A
-1.305915104,3.840381265,-3.912756101,0.000219973,0.030672871,-0.865386303,TMT1A
-1.305783173,2.27345812,-3.9041388,0.000226416,0.031001327,-0.89305182,MSRB3
-1.276328375,3.932520801,-3.903733788,0.000226723,0.031001327,-0.894351165,LDLR
-1.182751307,2.175618552,-3.903463222,0.000226929,0.031001327,-0.895219138,SPN
